"Date","Price","Open","High","Low","Vol.","Change %"
"2000-02-22","1.4615","1.4550","1.4640","1.4543","","0.41%"
"2000-02-21","1.4555","1.4506","1.4560","1.4490","","0.30%"
"2000-02-18","1.4511","1.4505","1.4520","1.4475","","0.05%"
"2000-02-17","1.4504","1.4528","1.4545","1.4500","","-0.17%"
"2000-02-16","1.4529","1.4560","1.4586","1.4490","","-0.18%"
"2000-02-15","1.4555","1.4569","1.4598","1.4550","","-0.06%"
"2000-02-14","1.4564","1.4496","1.4585","1.4466","","0.51%"
"2000-02-11","1.4490","1.4480","1.4533","1.4447","","0.03%"
"2000-02-10","1.4486","1.4442","1.4537","1.4434","","0.24%"
"2000-02-09","1.4451","1.4448","1.4477","1.4413","","-0.01%"
"2000-02-08","1.4452","1.4483","1.4507","1.4450","","-0.15%"
"2000-02-07","1.4473","1.4405","1.4477","1.4370","","0.51%"
"2000-02-04","1.4400","1.4420","1.4477","1.4396","","-0.06%"
"2000-02-03","1.4409","1.4378","1.4437","1.4357","","0.16%"
"2000-02-02","1.4386","1.4486","1.4548","1.4377","","-0.66%"
"2000-02-01","1.4482","1.4475","1.4545","1.4444","","0.16%"
"2000-01-31","1.4459","1.4457","1.4516","1.4440","","0.04%"
"2000-01-28","1.4453","1.4345","1.4510","1.4325","","0.72%"
"2000-01-27","1.4350","1.4400","1.4401","1.4315","","-0.26%"
"2000-01-26","1.4387","1.4370","1.4421","1.4363","","0.14%"
"2000-01-25","1.4367","1.4435","1.4450","1.4353","","-0.39%"
"2000-01-24","1.4423","1.4403","1.4435","1.4379","","0.15%"
"2000-01-21","1.4402","1.4464","1.4493","1.4373","","-0.45%"
"2000-01-20","1.4467","1.4520","1.4530","1.4435","","-0.35%"
"2000-01-19","1.4518","1.4505","1.4540","1.4480","","0.11%"
"2000-01-18","1.4502","1.4499","1.4521","1.4471","","0.06%"
"2000-01-17","1.4494","1.4505","1.4526","1.4488","","-0.01%"
"2000-01-14","1.4496","1.4502","1.4523","1.4453","","-0.05%"
"2000-01-13","1.4503","1.4545","1.4546","1.4485","","-0.28%"
"2000-01-12","1.4543","1.4563","1.4581","1.4515","","-0.24%"
"2000-01-11","1.4578","1.4565","1.4591","1.4547","","0.16%"
"2000-01-10","1.4555","1.4570","1.4590","1.4525","","-0.02%"
"2000-01-07","1.4558","1.4595","1.4620","1.4555","","-0.25%"
"2000-01-06","1.4595","1.4502","1.4602","1.4496","","0.69%"
"2000-01-05","1.4495","1.4528","1.4561","1.4484","","-0.17%"
"2000-01-04","1.4520","1.4470","1.4533","1.4438","","0.37%"
"2000-01-03","1.4466","1.4458","1.4475","1.4410","","0.04%"
"1999-12-31","1.4460","1.4540","1.4557","1.4425","","-0.52%"
"1999-12-30","1.4535","1.4526","1.4550","1.4505","","0.02%"
"1999-12-29","1.4532","1.4506","1.4537","1.4475","","0.19%"
"1999-12-28","1.4505","1.4577","1.4623","1.4478","","-0.56%"
"1999-12-27","1.4586","1.4677","1.4693","1.4585","","-0.60%"
"1999-12-24","1.4674","1.4714","1.4721","1.4671","","-0.14%"
"1999-12-23","1.4695","1.4762","1.4780","1.4685","","-0.45%"
"1999-12-22","1.4762","1.4760","1.4781","1.4743","","-0.05%"
"1999-12-21","1.4770","1.4796","1.4809","1.4755","","-0.24%"
"1999-12-20","1.4805","1.4776","1.4829","1.4769","","0.17%"
"1999-12-17","1.4780","1.4753","1.4787","1.4737","","0.13%"
"1999-12-16","1.4761","1.4825","1.4847","1.4755","","-0.48%"
"1999-12-15","1.4832","1.4812","1.4853","1.4806","","0.11%"
"1999-12-14","1.4815","1.4785","1.4824","1.4774","","0.18%"
"1999-12-13","1.4789","1.4774","1.4817","1.4763","","0.16%"
"1999-12-10","1.4765","1.4758","1.4799","1.4745","","0.12%"
"1999-12-09","1.4747","1.4785","1.4797","1.4735","","-0.22%"
"1999-12-08","1.4780","1.4775","1.4805","1.4763","","0.09%"
"1999-12-07","1.4766","1.4738","1.4770","1.4720","","0.18%"
"1999-12-06","1.4739","1.4790","1.4830","1.4712","","-0.40%"
"1999-12-03","1.4798","1.4826","1.4829","1.4760","","-0.15%"
